image,nonceIndex,perturbation,height,width,changedCipherBytes,changedCipherPixels,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent,roundTripPass
kodim12.png,2,nonceBit,512,768,1175052,393216,99.6103922526042,99.6047973632812,33.4616082218478,33.449198404948,1
kodim12.png,3,plaintextBit,512,768,1175078,393216,99.6125962999132,99.6025085449219,33.4537504441339,33.4156639747371,1
kodim12.png,3,masterKeyBit,512,768,1174971,393216,99.603525797526,99.5933532714844,33.4554618220444,33.4089441237107,1
kodim12.png,3,nonceBit,512,768,1175038,393216,99.6092054578993,99.6045430501302,33.4207339484188,33.4115590612873,1
kodim13.png,1,plaintextBit,512,768,1175091,393216,99.6136983235677,99.6101379394531,33.5032394508911,33.4793768988716,1
kodim13.png,1,masterKeyBit,512,768,1175038,393216,99.6092054578993,99.6060689290365,33.463529034118,33.4154714945875,1
kodim13.png,1,nonceBit,512,768,1175062,393216,99.6112399631076,99.6025085449219,33.4733870761847,33.437560835695,1
kodim13.png,2,plaintextBit,512,768,1174992,393216,99.6053059895833,99.6004740397135,33.4325733060152,33.3998307371452,1
kodim13.png,2,masterKeyBit,512,768,1175004,393216,99.6063232421875,99.6002197265625,33.4769833633324,33.4674471188215,1
kodim13.png,2,nonceBit,512,768,1174994,393216,99.605475531684,99.5903015136719,33.4721743515115,33.4411760716657,1
kodim13.png,3,plaintextBit,512,768,1175141,393216,99.6179368760851,99.6103922526042,33.4807339005481,33.4193121218214,1
kodim13.png,3,masterKeyBit,512,768,1175128,393216,99.6168348524305,99.6098836263021,33.4869288359333,33.466048895144,1
kodim13.png,3,nonceBit,512,768,1174907,393216,99.5981004503038,99.5867411295573,33.4534449359171,33.3883138419756,1
kodim14.png,1,plaintextBit,512,768,1175082,393216,99.6129353841146,99.5953877766927,33.4667775937415,33.4157656999975,1
kodim14.png,1,masterKeyBit,512,768,1174880,393216,99.5958116319444,99.5897928873698,33.5049933805445,33.484893000983,1
kodim14.png,1,nonceBit,512,768,1175160,393216,99.6195475260417,99.6075948079427,33.452623155382,33.4159841101154,1
kodim14.png,2,plaintextBit,512,768,1175179,393216,99.6211581759983,99.6070861816406,33.4503014259089,33.4224287045548,1
kodim14.png,2,masterKeyBit,512,768,1174986,393216,99.6047973632812,99.5936075846354,33.438348042939,33.4136563968036,1
kodim14.png,2,nonceBit,512,768,1175116,393216,99.6158175998264,99.603271484375,33.4291665070977,33.4112828073938,1
kodim14.png,3,plaintextBit,512,768,1174960,393216,99.6025933159722,99.5956420898438,33.4885850295522,33.4846237282348,1
kodim14.png,3,masterKeyBit,512,768,1174975,393216,99.6038648817274,99.6004740397135,33.4525071353954,33.4242677376941,1
kodim14.png,3,nonceBit,512,768,1175062,393216,99.6112399631076,99.6083577473958,33.4373075198504,33.3912239822687,1
kodim15.png,1,plaintextBit,512,768,1175026,393216,99.6081882052951,99.5933532714844,33.4767426800365,33.4563750223397,1
kodim15.png,1,masterKeyBit,512,768,1174981,393216,99.6043735080295,99.5956420898438,33.4537032382941,33.4310574001736,1
kodim15.png,1,nonceBit,512,768,1175020,393216,99.607679578993,99.5948791503906,33.485266990911,33.4541560154336,1
kodim15.png,2,plaintextBit,512,768,1175044,393216,99.6097140842014,99.6047973632812,33.4766668847444,33.4261855580449,1
kodim15.png,2,masterKeyBit,512,768,1175056,393216,99.6107313368056,99.6025085449219,33.4706032613784,33.4417814366958,1
kodim15.png,2,nonceBit,512,768,1175124,393216,99.6164957682292,99.6081034342448,33.4608047252647,33.3855483111214,1
kodim15.png,3,plaintextBit,512,768,1175060,393216,99.6110704210069,99.6088663736979,33.4825327089929,33.4682329963236,1
kodim15.png,3,masterKeyBit,512,768,1175002,393216,99.6061537000868,99.5964050292969,33.4732215233099,33.4331617168352,1
kodim15.png,3,nonceBit,512,768,1174990,393216,99.6051364474826,99.6017456054688,33.469397850286,33.4543385225184,1
kodim16.png,1,plaintextBit,512,768,1174982,393216,99.6044582790799,99.5923360188802,33.4760163084874,33.4656270345053,1
kodim16.png,1,masterKeyBit,512,768,1174976,393216,99.6039496527778,99.5903015136719,33.4330476914616,33.4210554135392,1
kodim16.png,1,nonceBit,512,768,1175186,393216,99.6217515733507,99.6129353841146,33.4479524367256,33.4243485195185,1
kodim16.png,2,plaintextBit,512,768,1174924,393216,99.5995415581597,99.5877583821615,33.468490966265,33.4513196758196,1
kodim16.png,2,masterKeyBit,512,768,1175106,393216,99.6149698893229,99.6045430501302,33.4245007749737,33.396964478337,1
kodim16.png,2,nonceBit,512,768,1174967,393216,99.6031867133246,99.5992024739583,33.4544266179237,33.4205039030587,1
kodim16.png,3,plaintextBit,512,768,1174983,393216,99.6045430501302,99.5930989583333,33.4880727464597,33.4610843035131,1
kodim16.png,3,masterKeyBit,512,768,1175042,393216,99.6095445421007,99.5979309082031,33.4611577717567,33.4294736774919,1
kodim16.png,3,nonceBit,512,768,1175043,393216,99.609629313151,99.5981852213542,33.4246530304288,33.3883337881051,1
kodim17.png,1,plaintextBit,768,512,1175064,393216,99.6114095052083,99.5938618977865,33.4796438445713,33.4541739669501,1
kodim17.png,1,masterKeyBit,768,512,1174995,393216,99.6055603027344,99.5992024739583,33.485324502251,33.4495793760213,1
kodim17.png,1,nonceBit,768,512,1175078,393216,99.6125962999132,99.6040344238281,33.483493115128,33.4524087344899,1
kodim17.png,2,plaintextBit,768,512,1174940,393216,99.6008978949653,99.5951334635417,33.4491575153825,33.4322272406684,1
kodim17.png,2,masterKeyBit,768,512,1174885,393216,99.5962354871962,99.5849609375,33.4263005807249,33.4172187755311,1
kodim17.png,2,nonceBit,768,512,1175030,393216,99.6085272894965,99.6014912923177,33.4641849293429,33.4237860386668,1
kodim17.png,3,plaintextBit,768,512,1174959,393216,99.6025085449219,99.5966593424479,33.4609473400906,33.4405168520859,1
kodim17.png,3,masterKeyBit,768,512,1175035,393216,99.6089511447482,99.5999654134115,33.4766921498417,33.4129183900123,1
kodim17.png,3,nonceBit,768,512,1175133,393216,99.6172587076823,99.6065775553385,33.4168770318458,33.4035666471993,1
kodim18.png,1,plaintextBit,768,512,1174992,393216,99.6053059895833,99.5976765950521,33.4461722446683,33.4163531135111,1
kodim18.png,1,masterKeyBit,768,512,1174978,393216,99.6041191948785,99.5986938476562,33.4723578559028,33.4469185623469,1
kodim18.png,1,nonceBit,768,512,1175079,393216,99.6126810709635,99.6027628580729,33.462505132804,33.4183188045726,1
kodim18.png,2,plaintextBit,768,512,1175002,393216,99.6061537000868,99.6002197265625,33.4313642381324,33.4006345661637,1
kodim18.png,2,masterKeyBit,768,512,1174959,393216,99.6025085449219,99.5938618977865,33.4691189369086,33.4294058606516,1
kodim18.png,2,nonceBit,768,512,1175033,393216,99.6087816026476,99.5997111002604,33.4467097928582,33.3984454784518,1
kodim18.png,3,plaintextBit,768,512,1175104,393216,99.6148003472222,99.6058146158854,33.4910244411893,33.434451234107,1
kodim18.png,3,masterKeyBit,768,512,1175075,393216,99.6123419867622,99.5943705240885,33.4486571999677,33.3960888432522,1
kodim18.png,3,nonceBit,768,512,1175049,393216,99.6101379394531,99.6078491210938,33.4496574983618,33.4101728052875,1
kodim19.png,1,plaintextBit,768,512,1174944,393216,99.6012369791667,99.5892842610677,33.4466140514366,33.4098217534084,1
kodim19.png,1,masterKeyBit,768,512,1174975,393216,99.6038648817274,99.5946248372396,33.4089604130498,33.366346172258,1
kodim19.png,1,nonceBit,768,512,1175006,393216,99.6064927842882,99.5979309082031,33.4473361013243,33.4389211617264,1
kodim19.png,2,plaintextBit,768,512,1175059,393215,99.6109856499566,99.603017171224,33.4979557211883,33.4613914739073,1
kodim19.png,2,masterKeyBit,768,512,1175008,393216,99.6066623263889,99.5930989583333,33.4665744756562,33.4266742382175,1
kodim19.png,2,nonceBit,768,512,1174845,393216,99.5928446451823,99.5897928873698,33.4594374180879,33.3980435639425,1
kodim19.png,3,plaintextBit,768,512,1175050,393216,99.6102227105035,99.5994567871094,33.4956456269574,33.4885022531148,1
kodim19.png,3,masterKeyBit,768,512,1174957,393216,99.6023390028212,99.5979309082031,33.4913605334712,33.4330330643,1
kodim19.png,3,nonceBit,768,512,1174954,393216,99.6020846896701,99.5956420898438,33.4529828505839,33.3959641799429,1
kodim20.png,1,plaintextBit,512,768,1175082,393216,99.6129353841146,99.6124267578125,33.4423818151936,33.4032804202411,1
kodim20.png,1,masterKeyBit,512,768,1175193,393216,99.6223449707031,99.6172587076823,33.4911431206598,33.4549229441126,1
kodim20.png,1,nonceBit,512,768,1175015,393216,99.6072557237413,99.597422281901,33.4565881134898,33.4369355245354,1
kodim20.png,2,plaintextBit,512,768,1175056,393216,99.6107313368056,99.6045430501302,33.5063264468657,33.4961884941151,1
kodim20.png,2,masterKeyBit,512,768,1175002,393216,99.6061537000868,99.6019999186198,33.4507655058552,33.4225094863792,1
kodim20.png,2,nonceBit,512,768,1174976,393216,99.6039496527778,99.5981852213542,33.4592053781148,33.4072846057369,1
kodim20.png,3,plaintextBit,512,768,1175070,393216,99.6119181315104,99.5930989583333,33.4682243530008,33.4147055632149,1
kodim20.png,3,masterKeyBit,512,768,1175180,393216,99.6212429470486,99.6103922526042,33.4528129760477,33.43173457127,1
kodim20.png,3,nonceBit,512,768,1175124,393216,99.6164957682292,99.6142069498698,33.472312644676,33.4645110485601,1
kodim21.png,1,plaintextBit,512,768,1175109,393216,99.615224202474,99.6025085449219,33.4556277073547,33.419504601971,1
