tileSize,tileCount,campaignIndex,replicateIndex,seed,bytesPerInvocation,timedTotalBytes,repeatCount,trialIndex,executionOrder,indexedMs,feedbackMs,pairedDeltaMs,pairedRatio
16,64,2,1,11201,49152,8404992,171,2,feedback-first,0.0902257309941521,0.0923514619883041,0.00212573099415203,1.02356014155529
16,64,2,1,11201,49152,8404992,171,3,indexed-first,0.088087134502924,0.0910883040935673,0.00300116959064328,1.03407046451878
16,64,2,1,11201,49152,8404992,171,4,feedback-first,0.0942953216374269,0.0914146198830409,-0.00288070175438597,0.969450215510558
16,64,2,1,11201,49152,8404992,171,5,indexed-first,0.0882450292397661,0.0870543859649123,-0.0011906432748538,0.986507531527711
16,64,2,1,11201,49152,8404992,171,6,feedback-first,0.0886929824561404,0.0877461988304093,-0.000946783625731001,0.989325157419312
16,64,2,1,11201,49152,8404992,171,7,indexed-first,0.0889169590643275,0.0878994152046784,-0.00101754385964911,0.988556245396191
16,64,2,1,11201,49152,8404992,171,8,feedback-first,0.0901222222222222,0.0913684210526316,0.00124619883040937,1.01382787507543
16,64,2,1,11201,49152,8404992,171,9,indexed-first,0.0899830409356725,0.0882029239766082,-0.00178011695906433,0.98021719492302
16,64,2,1,11201,49152,8404992,171,10,feedback-first,0.0908157894736842,0.0887818713450292,-0.00203391812865497,0.97760391512927
16,64,2,2,11202,49152,8404992,171,1,indexed-first,0.090287134502924,0.0894122807017544,-0.000874853801169612,0.99031031601583
16,64,2,2,11202,49152,8404992,171,2,feedback-first,0.0900631578947368,0.089453216374269,-0.000609941520467824,0.993227624538985
16,64,2,2,11202,49152,8404992,171,3,indexed-first,0.0904713450292398,0.0883187134502924,-0.00215263157894736,0.976206481972257
16,64,2,2,11202,49152,8404992,171,4,feedback-first,0.0913432748538012,0.0889444444444445,-0.00239883040935672,0.973738292028656
16,64,2,2,11202,49152,8404992,171,5,indexed-first,0.0892198830409357,0.0893175438596491,9.76608187134576e-05,1.00109460823512
